United States COVID-19 Hospitalizations by County
Date generated: Mon May 22 2023 19:17:51 GMT-0400 (Eastern Daylight Time)
County,State,New hospital admissions of confirmed COVID-19 past week (total),New COVID-19 hospital admissions per 100000 population past week (total),COVID-19 hospital admissions level,% Change in new hospital admissions of confirmed COVID-19 from the prior week,% Staffed inpatient beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed inpatient beds occupied by patients with confirmed COVID-19 from prior week,% Staffed ICU beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed ICU beds occupied by patients with confirmed COVID-19 from prior week
Newberry County,SC,11,1.4,Low (<10.0),-8.3,0.5,0,0.5,-0.5
Oconee County,SC,16,1.7,Low (<10.0),-11.1,1,-0.3,0.8,0
Orangeburg County,SC,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Pickens County,SC,16,1.7,Low (<10.0),-11.1,1,-0.3,0.8,0
Richland County,SC,11,1.4,Low (<10.0),-8.3,0.5,0,0.5,-0.5
Saluda County,SC,0,0,Low (<10.0),-100,0.7,-0.2,0.1,-1.2
Spartanburg County,SC,14,3.3,Low (<10.0),133.3,1.4,0,0.3,-0.7
Sumter County,SC,0,0,Low (<10.0),N/A,0.3,-0.2,0,0
Union County,SC,14,3.3,Low (<10.0),133.3,1.4,0,0.3,-0.7
Williamsburg County,SC,5,1.6,Low (<10.0),-16.7,0.4,-0.4,0.2,-1.7
York County,SC,6,1.9,Low (<10.0),-14.3,2,-0.4,1,-0.8
Aurora County,SD,1,1.9,Low (<10.0),-66.7,1.1,-0.8,0.3,-6.5
Beadle County,SD,4,16,Medium (10.0 to 19.9),N/A,2,1.4,0,0
Bennett County,SD,4,12.3,Medium (10.0 to 19.9),100,0.9,0.3,0,0
Bon Homme County,SD,0,0,Low (<10.0),-100,0.5,-0.9,0.8,-2.2
Brookings County,SD,0,0,Low (<10.0),-100,0.2,-0.1,0,0
Brown County,SD,2,3.1,Low (<10.0),100,0.8,0,0,0
Brule County,SD,1,1.9,Low (<10.0),-66.7,1.1,-0.8,0.3,-6.5
Buffalo County,SD,1,1.9,Low (<10.0),-66.7,1.1,-0.8,0.3,-6.5
Butte County,SD,5,2.9,Low (<10.0),-37.5,0.9,0.2,2.4,0.4
Campbell County,SD,0,0,Low (<10.0),N/A,0,0,0,0
Charles Mix County,SD,1,1.9,Low (<10.0),-66.7,1.1,-0.8,0.3,-6.5
Clark County,SD,0,0,Low (<10.0),N/A,1,0.9,11.4,10.3
Clay County,SD,0,0,Low (<10.0),-100,0.5,-0.9,0.8,-2.2
Codington County,SD,0,0,Low (<10.0),N/A,1,0.9,11.4,10.3
Corson County,SD,0,0,Low (<10.0),N/A,0,0,0,0
Custer County,SD,5,2.9,Low (<10.0),-37.5,0.9,0.2,2.4,0.4
Davison County,SD,1,1.9,Low (<10.0),-66.7,1.1,-0.8,0.3,-6.5
Day County,SD,2,3.1,Low (<10.0),100,0.8,0,0,0
Deuel County,SD,0,0,Low (<10.0),N/A,1,0.9,11.4,10.3
Dewey County,SD,0,0,Low (<10.0),N/A,0,0,0,0
Douglas County,SD,1,1.9,Low (<10.0),-66.7,1.1,-0.8,0.3,-6.5
Edmunds County,SD,2,3.1,Low (<10.0),100,0.8,0,0,0
Fall River County,SD,5,2.9,Low (<10.0),-37.5,0.9,0.2,2.4,0.4
Faulk County,SD,2,3.1,Low (<10.0),100,0.8,0,0,0
Grant County,SD,0,0,Low (<10.0),N/A,1,0.9,11.4,10.3
Gregory County,SD,1,4.2,Low (<10.0),-50,2.5,1.8,0,0
Haakon County,SD,4,14.5,Medium (10.0 to 19.9),N/A,1.2,0.4,2.4,2.4
Hamlin County,SD,0,0,Low (<10.0),N/A,1,0.9,11.4,10.3
Hand County,SD,4,16,Medium (10.0 to 19.9),N/A,2,1.4,0,0
Hanson County,SD,1,1.9,Low (<10.0),-66.7,1.1,-0.8,0.3,-6.5
Harding County,SD,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Hughes County,SD,4,14.5,Medium (10.0 to 19.9),N/A,1.2,0.4,2.4,2.4
Hutchinson County,SD,0,0,Low (<10.0),-100,0.5,-0.9,0.8,-2.2
Hyde County,SD,4,16,Medium (10.0 to 19.9),N/A,2,1.4,0,0
Jackson County,SD,5,2.9,Low (<10.0),-37.5,0.9,0.2,2.4,0.4
Jerauld County,SD,4,16,Medium (10.0 to 19.9),N/A,2,1.4,0,0
Jones County,SD,4,14.5,Medium (10.0 to 19.9),N/A,1.2,0.4,2.4,2.4
Kingsbury County,SD,0,0,Low (<10.0),-100,0.2,-0.1,0,0
Lake County,SD,17,5.1,Low (<10.0),-15,2.3,-0.3,1.2,-0.5
Lawrence County,SD,1,1.3,Low (<10.0),-66.7,0.8,-0.4,0,0
Lincoln County,SD,17,5.1,Low (<10.0),-15,2.3,-0.3,1.2,-0.5
Lyman County,SD,1,1.9,Low (<10.0),-66.7,1.1,-0.8,0.3,-6.5
Marshall County,SD,2,3.1,Low (<10.0),100,0.8,0,0,0
McCook County,SD,17,5.1,Low (<10.0),-15,2.3,-0.3,1.2,-0.5
McPherson County,SD,2,3.1,Low (<10.0),100,0.8,0,0,0
Meade County,SD,5,2.9,Low (<10.0),-37.5,0.9,0.2,2.4,0.4
Mellette County,SD,1,4.2,Low (<10.0),-50,2.5,1.8,0,0
Miner County,SD,17,5.1,Low (<10.0),-15,2.3,-0.3,1.2,-0.5
Minnehaha County,SD,17,5.1,Low (<10.0),-15,2.3,-0.3,1.2,-0.5
Moody County,SD,17,5.1,Low (<10.0),-15,2.3,-0.3,1.2,-0.5
Oglala Lakota County,SD,4,12.3,Medium (10.0 to 19.9),100,0.9,0.3,0,0
Pennington County,SD,5,2.9,Low (<10.0),-37.5,0.9,0.2,2.4,0.4
Perkins County,SD,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Potter County,SD,0,0,Low (<10.0),N/A,0,0,0,0
Roberts County,SD,0,0,Low (<10.0),-100,0.5,-0.4,N/A,N/A
Sanborn County,SD,1,1.9,Low (<10.0),-66.7,1.1,-0.8,0.3,-6.5
Spink County,SD,2,3.1,Low (<10.0),100,0.8,0,0,0
Stanley County,SD,4,14.5,Medium (10.0 to 19.9),N/A,1.2,0.4,2.4,2.4
Sully County,SD,4,14.5,Medium (10.0 to 19.9),N/A,1.2,0.4,2.4,2.4
Todd County,SD,1,4.2,Low (<10.0),-50,2.5,1.8,0,0
Tripp County,SD,1,4.2,Low (<10.0),-50,2.5,1.8,0,0
Turner County,SD,17,5.1,Low (<10.0),-15,2.3,-0.3,1.2,-0.5
Union County,SD,17,5.1,Low (<10.0),-15,2.3,-0.3,1.2,-0.5
Walworth County,SD,0,0,Low (<10.0),N/A,0,0,0,0
Yankton County,SD,0,0,Low (<10.0),-100,0.5,-0.9,0.8,-2.2
Ziebach County,SD,4,14.5,Medium (10.0 to 19.9),N/A,1.2,0.4,2.4,2.4
Anderson County,TN,5,2.2,Low (<10.0),66.7,1.6,-0.3,4,-0.9
Bedford County,TN,1,2,Low (<10.0),0,0.5,0.3,0,0
Benton County,TN,1,0.9,Low (<10.0),0,0.1,-0.2,0,-0.1
Bledsoe County,TN,0,0,Low (<10.0),N/A,0,0,0,0
Blount County,TN,12,1.4,Low (<10.0),-29.4,0.7,-0.1,1.3,0.3
Bradley County,TN,4,2.2,Low (<10.0),-20,1.5,0.8,7.9,6.8
Campbell County,TN,5,2.2,Low (<10.0),66.7,1.6,-0.3,4,-0.9
Cannon County,TN,4,1,Low (<10.0),100,0.6,0,0.7,0.5
Carroll County,TN,1,0.9,Low (<10.0),0,0.1,-0.2,0,-0.1
Carter County,TN,14,6.9,Low (<10.0),55.6,1.7,-0.4,4,-0.8
Cheatham County,TN,33,2.9,Low (<10.0),13.8,0.8,0,1.2,0.3
Chester County,TN,8,3.1,Low (<10.0),100,1.8,0,2,0.5
Claiborne County,TN,2,2.4,Low (<10.0),-33.3,2,-0.1,3.8,3.3
Clay County,TN,9,5.8,Low (<10.0),80,2.5,0.3,0.8,-0.3
Cocke County,TN,0,0,Low (<10.0),-100,0.6,-0.5,0,0
Coffee County,TN,3,2.5,Low (<10.0),50,0.7,0.5,1.4,0.6
Crockett County,TN,8,3.1,Low (<10.0),100,1.8,0,2,0.5
Cumberland County,TN,0,0,Low (<10.0),N/A,0,0,0,0
Davidson County,TN,33,2.9,Low (<10.0),13.8,0.8,0,1.2,0.3
Decatur County,TN,8,3.1,Low (<10.0),100,1.8,0,2,0.5
DeKalb County,TN,4,1,Low (<10.0),100,0.6,0,0.7,0.5
Dickson County,TN,33,2.9,Low (<10.0),13.8,0.8,0,1.2,0.3
Dyer County,TN,0,0,Low (<10.0),N/A,0.5,-0.2,0,0
Fayette County,TN,25,1.9,Low (<10.0),-28.6,1.2,-0.1,1.1,0.1
Fentress County,TN,0,0,Low (<10.0),N/A,0,0,0,0
Franklin County,TN,3,2.5,Low (<10.0),50,0.7,0.5,1.4,0.6
Gibson County,TN,8,3.1,Low (<10.0),100,1.8,0,2,0.5
Giles County,TN,2,1.2,Low (<10.0),-71.4,2.4,-0.3,2.3,0.3
Grainger County,TN,2,1.3,Low (<10.0),-50,1.7,0,0.8,-3
Greene County,TN,0,0,Low (<10.0),-100,0.6,-0.5,0,0
Grundy County,TN,3,2.5,Low (<10.0),50,0.7,0.5,1.4,0.6
Hamblen County,TN,2,1.3,Low (<10.0),-50,1.7,0,0.8,-3
Hamilton County,TN,11,1.9,Low (<10.0),-15.4,0.5,-0.1,0.6,-0.4
Hancock County,TN,2,1.3,Low (<10.0),-50,1.7,0,0.8,-3
Hardeman County,TN,8,3.1,Low (<10.0),100,1.8,0,2,0.5
Hardin County,TN,0,0,Low (<10.0),-100,1.9,1.6,N/A,N/A
Hawkins County,TN,11,3,Low (<10.0),-31.2,1.6,-0.1,1.6,0.2
Haywood County,TN,8,3.1,Low (<10.0),100,1.8,0,2,0.5
Henderson County,TN,8,3.1,Low (<10.0),100,1.8,0,2,0.5
Henry County,TN,1,0.9,Low (<10.0),0,0.1,-0.2,0,-0.1
Hickman County,TN,33,2.9,Low (<10.0),13.8,0.8,0,1.2,0.3
Houston County,TN,2,0.9,Low (<10.0),N/A,0.6,0,0,0
Humphreys County,TN,33,2.9,Low (<10.0),13.8,0.8,0,1.2,0.3
Jackson County,TN,9,5.8,Low (<10.0),80,2.5,0.3,0.8,-0.3
Jefferson County,TN,2,1.3,Low (<10.0),-50,1.7,0,0.8,-3
Johnson County,TN,2,2,Low (<10.0),0,0.9,0.8,6.2,4.8
Knox County,TN,12,1.4,Low (<10.0),-29.4,0.7,-0.1,1.3,0.3
Lake County,TN,0,0,Low (<10.0),N/A,0.5,-0.2,0,0
Lauderdale County,TN,0,0,Low (<10.0),N/A,0.5,-0.2,0,0
Lawrence County,TN,0,0,Low (<10.0),-100,0.2,0.1,0,0
Lewis County,TN,2,1.2,Low (<10.0),-71.4,2.4,-0.3,2.3,0.3
Lincoln County,TN,18,3.2,Low (<10.0),28.6,0.9,0.2,0.1,-0.5
Loudon County,TN,12,1.4,Low (<10.0),-29.4,0.7,-0.1,1.3,0.3
Macon County,TN,9,2.3,Low (<10.0),125,0.8,-0.3,2.2,-0.6
Madison County,TN,8,3.1,Low (<10.0),100,1.8,0,2,0.5
Marion County,TN,11,1.9,Low (<10.0),-15.4,0.5,-0.1,0.6,-0.4
Marshall County,TN,2,1.2,Low (<10.0),-71.4,2.4,-0.3,2.3,0.3
Maury County,TN,2,1.2,Low (<10.0),-71.4,2.4,-0.3,2.3,0.3
McMinn County,TN,12,1.4,Low (<10.0),-29.4,0.7,-0.1,1.3,0.3
McNairy County,TN,0,0,Low (<10.0),-100,1.9,1.6,N/A,N/A
Meigs County,TN,12,1.4,Low (<10.0),-29.4,0.7,-0.1,1.3,0.3
Monroe County,TN,12,1.4,Low (<10.0),-29.4,0.7,-0.1,1.3,0.3
Montgomery County,TN,2,0.9,Low (<10.0),N/A,0.6,0,0,0
Moore County,TN,3,2.5,Low (<10.0),50,0.7,0.5,1.4,0.6
Morgan County,TN,5,2.2,Low (<10.0),66.7,1.6,-0.3,4,-0.9
Obion County,TN,1,1.4,Low (<10.0),N/A,0.3,-0.1,0,0
Overton County,TN,9,5.8,Low (<10.0),80,2.5,0.3,0.8,-0.3
Perry County,TN,0,0,Low (<10.0),-100,0.2,0.1,0,0
Pickett County,TN,9,5.8,Low (<10.0),80,2.5,0.3,0.8,-0.3
Polk County,TN,4,2.2,Low (<10.0),-20,1.5,0.8,7.9,6.8
Putnam County,TN,9,5.8,Low (<10.0),80,2.5,0.3,0.8,-0.3
Rhea County,TN,5,2.2,Low (<10.0),66.7,1.6,-0.3,4,-0.9
Roane County,TN,5,2.2,Low (<10.0),66.7,1.6,-0.3,4,-0.9
Robertson County,TN,33,2.9,Low (<10.0),13.8,0.8,0,1.2,0.3
Rutherford County,TN,4,1,Low (<10.0),100,0.6,0,0.7,0.5
Scott County,TN,0,0,Low (<10.0),N/A,0,-0.2,N/A,N/A
Sequatchie County,TN,11,1.9,Low (<10.0),-15.4,0.5,-0.1,0.6,-0.4
Sevier County,TN,12,1.4,Low (<10.0),-29.4,0.7,-0.1,1.3,0.3
Shelby County,TN,25,1.9,Low (<10.0),-28.6,1.2,-0.1,1.1,0.1
Smith County,TN,9,2.3,Low (<10.0),125,0.8,-0.3,2.2,-0.6
Stewart County,TN,2,0.9,Low (<10.0),N/A,0.6,0,0,0
Sullivan County,TN,11,3,Low (<10.0),-31.2,1.6,-0.1,1.6,0.2
Sumner County,TN,9,2.3,Low (<10.0),125,0.8,-0.3,2.2,-0.6
Tipton County,TN,25,1.9,Low (<10.0),-28.6,1.2,-0.1,1.1,0.1
Trousdale County,TN,9,2.3,Low (<10.0),125,0.8,-0.3,2.2,-0.6
Unicoi County,TN,14,6.9,Low (<10.0),55.6,1.7,-0.4,4,-0.8
Union County,TN,12,1.4,Low (<10.0),-29.4,0.7,-0.1,1.3,0.3
Van Buren County,TN,4,1,Low (<10.0),100,0.6,0,0.7,0.5
Warren County,TN,4,1,Low (<10.0),100,0.6,0,0.7,0.5
Washington County,TN,14,6.9,Low (<10.0),55.6,1.7,-0.4,4,-0.8
Wayne County,TN,0,0,Low (<10.0),-100,0.2,0.1,0,0
Weakley County,TN,1,1.4,Low (<10.0),N/A,0.3,-0.1,0,0
White County,TN,9,5.8,Low (<10.0),80,2.5,0.3,0.8,-0.3
Williamson County,TN,33,2.9,Low (<10.0),13.8,0.8,0,1.2,0.3
Wilson County,TN,9,2.3,Low (<10.0),125,0.8,-0.3,2.2,-0.6
Anderson County,TX,3,2.2,Low (<10.0),N/A,0.4,0.3,4.7,4.7
Andrews County,TX,0,0,Low (<10.0),N/A,0,0,0,0
Angelina County,TX,3,1.3,Low (<10.0),200,0.4,-0.2,0,-0.2
Aransas County,TX,9,1.6,Low (<10.0),-57.1,2,-0.4,6.7,-1
Archer County,TX,5,2.5,Low (<10.0),400,0.3,-0.4,0,0
Armstrong County,TX,0,0,Low (<10.0),-100,0.5,0,0.2,-1.3
Atascosa County,TX,55,2.2,Low (<10.0),12.2,1,-0.2,1.7,-0.1
Austin County,TX,202,3.2,Low (<10.0),-27.3,1.9,-0.1,2.4,0.1
Bailey County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Bandera County,TX,55,2.2,Low (<10.0),12.2,1,-0.2,1.7,-0.1
Bastrop County,TX,30,1.5,Low (<10.0),3.4,0.8,-0.1,0.3,-0.2
Baylor County,TX,5,2.5,Low (<10.0),400,0.3,-0.4,0,0
Bee County,TX,40,83,High (≥20.0),21.2,8.5,0.2,4.3,-2.1
Bell County,TX,7,1.4,Low (<10.0),-30,0.7,-0.2,0.1,0.1
Bexar County,TX,55,2.2,Low (<10.0),12.2,1,-0.2,1.7,-0.1
Blanco County,TX,1,0.9,Low (<10.0),0,0.1,0.1,0.9,0.9
Borden County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Bosque County,TX,2,0.6,Low (<10.0),-33.3,0.3,-0.6,0,-0.1
Bowie County,TX,6,2.4,Low (<10.0),0,0.6,-0.4,0,-0.8
Brazoria County,TX,3,0.7,Low (<10.0),-25,0.5,0.2,0,0
Brazos County,TX,17,5.2,Low (<10.0),-5.6,1.7,-0.3,1.7,0.1
Brewster County,TX,0,0,Low (<10.0),-100,0.5,0.3,N/A,N/A
Briscoe County,TX,0,0,Low (<10.0),-100,0.5,0,0.2,-1.3
Brooks County,TX,9,1.6,Low (<10.0),-57.1,2,-0.4,6.7,-1
Brown County,TX,1,1.8,Low (<10.0),N/A,0.8,-0.7,0.4,-8.8
Burleson County,TX,17,5.2,Low (<10.0),-5.6,1.7,-0.3,1.7,0.1
Burnet County,TX,30,1.5,Low (<10.0),3.4,0.8,-0.1,0.3,-0.2
Caldwell County,TX,13,4.7,Low (<10.0),-7.1,2.9,0,2.9,0.1
Calhoun County,TX,4,2.2,Low (<10.0),-33.3,0.9,0,1.7,-1.4
Callahan County,TX,6,2.8,Low (<10.0),-33.3,0.1,-0.1,0.4,0.4
Cameron County,TX,10,2.2,Low (<10.0),-58.3,2.8,0,3.8,0
Camp County,TX,1,1.5,Low (<10.0),0,1.4,1.2,27.4,25.7
Carson County,TX,0,0,Low (<10.0),-100,0.5,0,0.2,-1.3
Cass County,TX,25,23.5,High (≥20.0),78.6,6.3,3.4,3.1,1.1
Castro County,TX,0,0,Low (<10.0),N/A,0,0,0,0
Chambers County,TX,202,3.2,Low (<10.0),-27.3,1.9,-0.1,2.4,0.1
Cherokee County,TX,3,2.2,Low (<10.0),N/A,0.4,0.3,4.7,4.7
Childress County,TX,0,0,Low (<10.0),N/A,0.8,-2.7,N/A,N/A
Clay County,TX,5,2.5,Low (<10.0),400,0.3,-0.4,0,0
Cochran County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Coke County,TX,8,4.9,Low (<10.0),700,0.9,0,0,-1.1
Coleman County,TX,1,1.8,Low (<10.0),N/A,0.8,-0.7,0.4,-8.8
Collin County,TX,83,2,Low (<10.0),1.2,1.3,-0.2,2,0
Collingsworth County,TX,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Colorado County,TX,0,0,Low (<10.0),N/A,0.3,-1.9,N/A,N/A
Comal County,TX,5,3.2,Low (<10.0),66.7,1.4,-0.6,0.2,-1.5
Comanche County,TX,1,1.8,Low (<10.0),N/A,0.3,0.1,2.4,0.8
Concho County,TX,8,4.9,Low (<10.0),700,0.9,0,0,-1.1
Cooke County,TX,16,1.6,Low (<10.0),-5.9,1.2,-0.1,1.5,-0.1
Coryell County,TX,7,1.4,Low (<10.0),-30,0.7,-0.2,0.1,0.1
Cottle County,TX,0,0,Low (<10.0),N/A,0.8,-2.7,N/A,N/A
Crane County,TX,6,2.9,Low (<10.0),50,0.9,-0.1,0.1,0.1
Crockett County,TX,8,4.9,Low (<10.0),700,0.9,0,0,-1.1
Crosby County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Culberson County,TX,47,5.6,Low (<10.0),0,2.9,-0.2,4,-1.3
Dallam County,TX,0,0,Low (<10.0),-100,0.5,0,0.2,-1.3
Dallas County,TX,83,2,Low (<10.0),1.2,1.3,-0.2,2,0
Dawson County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Deaf Smith County,TX,0,0,Low (<10.0),N/A,0,-0.6,N/A,N/A
Delta County,TX,3,3.7,Low (<10.0),200,0.8,-0.9,4.7,-3.5
Denton County,TX,16,1.6,Low (<10.0),-5.9,1.2,-0.1,1.5,-0.1
DeWitt County,TX,4,2.2,Low (<10.0),-33.3,0.9,0,1.7,-1.4
Dickens County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Dimmit County,TX,1,9.9,Low (<10.0),N/A,1.2,1.2,0,0
Donley County,TX,0,0,Low (<10.0),-100,0.5,0,0.2,-1.3
Duval County,TX,9,1.6,Low (<10.0),-57.1,2,-0.4,6.7,-1
Eastland County,TX,6,2.8,Low (<10.0),-33.3,0.1,-0.1,0.4,0.4
Ector County,TX,6,2.9,Low (<10.0),50,0.9,-0.1,0.1,0.1
Edwards County,TX,1,0.9,Low (<10.0),0,0.1,0.1,0.9,0.9
El Paso County,TX,47,5.6,Low (<10.0),0,2.9,-0.2,4,-1.3
Ellis County,TX,83,2,Low (<10.0),1.2,1.3,-0.2,2,0
Erath County,TX,1,1.8,Low (<10.0),N/A,0.3,0.1,2.4,0.8
Falls County,TX,2,0.6,Low (<10.0),-33.3,0.3,-0.6,0,-0.1
Fannin County,TX,0,0,Low (<10.0),-100,0.3,0.2,1.9,1.4
Fayette County,TX,0,0,Low (<10.0),N/A,0.3,-1.9,N/A,N/A
Fisher County,TX,2,7.4,Low (<10.0),N/A,0.1,0.1,0,0
Floyd County,TX,0,0,Low (<10.0),N/A,0,0,0,0
Foard County,TX,7,39.2,High (≥20.0),0,0,0,0,0
Fort Bend County,TX,202,3.2,Low (<10.0),-27.3,1.9,-0.1,2.4,0.1
Franklin County,TX,1,1.5,Low (<10.0),0,1.4,1.2,27.4,25.7
Freestone County,TX,0,0,Low (<10.0),N/A,0,0,0,0
Frio County,TX,55,2.2,Low (<10.0),12.2,1,-0.2,1.7,-0.1
Gaines County,TX,0,0,Low (<10.0),N/A,0,0,0,0
Galveston County,TX,3,0.9,Low (<10.0),-25,1.2,-0.3,0.1,-0.4
Garza County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Gillespie County,TX,1,0.9,Low (<10.0),0,0.1,0.1,0.9,0.9
Glasscock County,TX,0,0,Low (<10.0),-100,0.4,0.3,0,0
Goliad County,TX,4,2.2,Low (<10.0),-33.3,0.9,0,1.7,-1.4
Gonzales County,TX,55,2.2,Low (<10.0),12.2,1,-0.2,1.7,-0.1
Gray County,TX,0,0,Low (<10.0),N/A,1,0,0,0
Grayson County,TX,0,0,Low (<10.0),-100,0.3,0.2,1.9,1.4
Gregg County,TX,8,3.3,Low (<10.0),0,2.7,0,3.1,-0.3
Grimes County,TX,17,5.2,Low (<10.0),-5.6,1.7,-0.3,1.7,0.1
Guadalupe County,TX,55,2.2,Low (<10.0),12.2,1,-0.2,1.7,-0.1
Hale County,TX,0,0,Low (<10.0),N/A,0,0,0,0
Hall County,TX,0,0,Low (<10.0),N/A,0.8,-2.7,N/A,N/A
Hamilton County,TX,2,0.6,Low (<10.0),-33.3,0.3,-0.6,0,-0.1
Hansford County,TX,0,0,Low (<10.0),-100,0.5,0,0.2,-1.3
Hardeman County,TX,7,39.2,High (≥20.0),0,0,0,0,0
Hardin County,TX,10,2.2,Low (<10.0),-37.5,1.3,0.2,1.3,0.4
Harris County,TX,202,3.2,Low (<10.0),-27.3,1.9,-0.1,2.4,0.1
Harrison County,TX,25,23.5,High (≥20.0),78.6,6.3,3.4,3.1,1.1
Hartley County,TX,0,0,Low (<10.0),-100,0.5,0,0.2,-1.3
Haskell County,TX,6,2.8,Low (<10.0),-33.3,0.1,-0.1,0.4,0.4
Hays County,TX,13,4.7,Low (<10.0),-7.1,2.9,0,2.9,0.1
Hemphill County,TX,0,0,Low (<10.0),N/A,1,0,0,0
Henderson County,TX,16,3.8,Low (<10.0),-33.3,1.5,0.1,4,1
Hidalgo County,TX,38,4.1,Low (<10.0),-9.5,1.3,-0.4,2.4,-0.3
Hill County,TX,2,0.6,Low (<10.0),-33.3,0.3,-0.6,0,-0.1
Hockley County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Hood County,TX,80,3.2,Low (<10.0),-19.2,1.4,-0.2,2.1,-0.5
Hopkins County,TX,83,2,Low (<10.0),1.2,1.3,-0.2,2,0
Houston County,TX,3,2.2,Low (<10.0),N/A,0.4,0.3,4.7,4.7
Howard County,TX,0,0,Low (<10.0),-100,0.4,0.3,0,0
Hudspeth County,TX,47,5.6,Low (<10.0),0,2.9,-0.2,4,-1.3
Hunt County,TX,83,2,Low (<10.0),1.2,1.3,-0.2,2,0
Hutchinson County,TX,0,0,Low (<10.0),-100,0.5,0,0.2,-1.3
Irion County,TX,8,4.9,Low (<10.0),700,0.9,0,0,-1.1
Jack County,TX,0,0,Low (<10.0),N/A,0,0,0,0
Jackson County,TX,4,2.2,Low (<10.0),-33.3,0.9,0,1.7,-1.4
Jasper County,TX,10,2.2,Low (<10.0),-37.5,1.3,0.2,1.3,0.4
Jeff Davis County,TX,0,0,Low (<10.0),-100,0.5,0.3,N/A,N/A
Jefferson County,TX,10,2.2,Low (<10.0),-37.5,1.3,0.2,1.3,0.4
Jim Hogg County,TX,1,0.3,Low (<10.0),N/A,0.6,0.4,1.6,1.1
Jim Wells County,TX,9,1.6,Low (<10.0),-57.1,2,-0.4,6.7,-1
Johnson County,TX,80,3.2,Low (<10.0),-19.2,1.4,-0.2,2.1,-0.5
Jones County,TX,6,2.8,Low (<10.0),-33.3,0.1,-0.1,0.4,0.4
Karnes County,TX,40,83,High (≥20.0),21.2,8.5,0.2,4.3,-2.1
Kaufman County,TX,83,2,Low (<10.0),1.2,1.3,-0.2,2,0
Kendall County,TX,55,2.2,Low (<10.0),12.2,1,-0.2,1.7,-0.1
Kenedy County,TX,9,1.6,Low (<10.0),-57.1,2,-0.4,6.7,-1
Kent County,TX,6,2.8,Low (<10.0),-33.3,0.1,-0.1,0.4,0.4
Kerr County,TX,1,0.9,Low (<10.0),0,0.1,0.1,0.9,0.9
Kimble County,TX,1,0.9,Low (<10.0),0,0.1,0.1,0.9,0.9
King County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Kinney County,TX,3,2.7,Low (<10.0),200,0.6,0.5,2.6,2.6
Kleberg County,TX,9,1.6,Low (<10.0),-57.1,2,-0.4,6.7,-1
Knox County,TX,5,2.5,Low (<10.0),400,0.3,-0.4,0,0
La Salle County,TX,55,2.2,Low (<10.0),12.2,1,-0.2,1.7,-0.1
Lamar County,TX,3,3.7,Low (<10.0),200,0.8,-0.9,4.7,-3.5
Lamb County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Lampasas County,TX,7,1.4,Low (<10.0),-30,0.7,-0.2,0.1,0.1
Lavaca County,TX,4,2.2,Low (<10.0),-33.3,0.9,0,1.7,-1.4
Lee County,TX,30,1.5,Low (<10.0),3.4,0.8,-0.1,0.3,-0.2
Leon County,TX,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Liberty County,TX,202,3.2,Low (<10.0),-27.3,1.9,-0.1,2.4,0.1
Limestone County,TX,2,0.6,Low (<10.0),-33.3,0.3,-0.6,0,-0.1
Lipscomb County,TX,0,0,Low (<10.0),N/A,1.4,-0.9,N/A,N/A
Live Oak County,TX,9,1.6,Low (<10.0),-57.1,2,-0.4,6.7,-1
Llano County,TX,30,1.5,Low (<10.0),3.4,0.8,-0.1,0.3,-0.2
Loving County,TX,47,5.6,Low (<10.0),0,2.9,-0.2,4,-1.3
Lubbock County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Lynn County,TX,8,2,Low (<10.0),-20,0.5,-0.1,1.1,0.2
Madison County,TX,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Marion County,TX,25,23.5,High (≥20.0),78.6,6.3,3.4,3.1,1.1
Martin County,TX,2,1,Low (<10.0),-60,0.2,-0.1,0,-0.5
Mason County,TX,1,0.9,Low (<10.0),0,0.1,0.1,0.9,0.9
Matagorda County,TX,3,0.7,Low (<10.0),-25,0.5,0.2,0,0
Maverick County,TX,3,2.7,Low (<10.0),200,0.6,0.5,2.6,2.6
McCulloch County,TX,8,4.9,Low (<10.0),700,0.9,0,0,-1.1
McLennan County,TX,2,0.6,Low (<10.0),-33.3,0.3,-0.6,0,-0.1
McMullen County,TX,55,2.2,Low (<10.0),12.2,1,-0.2,1.7,-0.1
