United States COVID-19 Hospitalizations by County
Date generated: Mon May 22 2023 19:17:51 GMT-0400 (Eastern Daylight Time)
County,State,New hospital admissions of confirmed COVID-19 past week (total),New COVID-19 hospital admissions per 100000 population past week (total),COVID-19 hospital admissions level,% Change in new hospital admissions of confirmed COVID-19 from the prior week,% Staffed inpatient beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed inpatient beds occupied by patients with confirmed COVID-19 from prior week,% Staffed ICU beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed ICU beds occupied by patients with confirmed COVID-19 from prior week
Washington County,AR,16,2.8,Low (<10.0),100,0.8,0.2,1.7,0.9
White County,AR,1,0.8,Low (<10.0),-75,0.9,-0.4,0,-0.2
Woodruff County,AR,1,0.8,Low (<10.0),-75,0.9,-0.4,0,-0.2
Yell County,AR,1,1.2,Low (<10.0),-85.7,0.8,-1.2,2.8,-3.9
Unallocated American Samoa,AS,0,0,Low (<10.0),N/A,0,0,0,0
Apache County,AZ,18,12.6,Medium (10.0 to 19.9),-5.3,3.2,-0.5,1.3,0.5
Cochise County,AZ,35,2.8,Low (<10.0),-30,1.9,0.1,2.5,0.5
Coconino County,AZ,185,3.4,Low (<10.0),-11.9,1.7,0,2,-0.2
Gila County,AZ,185,3.4,Low (<10.0),-11.9,1.7,0,2,-0.2
Graham County,AZ,35,2.8,Low (<10.0),-30,1.9,0.1,2.5,0.5
Greenlee County,AZ,35,2.8,Low (<10.0),-30,1.9,0.1,2.5,0.5
La Paz County,AZ,5,2.1,Low (<10.0),25,0.6,-0.1,0.3,0.2
Maricopa County,AZ,185,3.4,Low (<10.0),-11.9,1.7,0,2,-0.2
Mohave County,AZ,15,7.1,Low (<10.0),7.1,1.3,0.4,3.1,2.6
Navajo County,AZ,20,5.7,Low (<10.0),-4.8,2.2,0.2,4.6,0.2
Pima County,AZ,35,2.8,Low (<10.0),-30,1.9,0.1,2.5,0.5
Pinal County,AZ,185,3.4,Low (<10.0),-11.9,1.7,0,2,-0.2
Santa Cruz County,AZ,35,2.8,Low (<10.0),-30,1.9,0.1,2.5,0.5
Yavapai County,AZ,185,3.4,Low (<10.0),-11.9,1.7,0,2,-0.2
Yuma County,AZ,5,2.1,Low (<10.0),25,0.6,-0.1,0.3,0.2
Alameda County,CA,151,5.3,Low (<10.0),19.8,2.5,-0.1,3,0.5
Alpine County,CA,10,1.4,Low (<10.0),0,1,0,0.8,-0.2
Amador County,CA,28,3.3,Low (<10.0),-6.7,1.5,-0.4,0.4,-0.3
Butte County,CA,8,2.6,Low (<10.0),-46.7,2.8,-0.7,0,-0.1
Calaveras County,CA,28,3.3,Low (<10.0),-6.7,1.5,-0.4,0.4,-0.3
Colusa County,CA,2,1,Low (<10.0),-60,1.4,0.2,5.1,4.4
Contra Costa County,CA,151,5.3,Low (<10.0),19.8,2.5,-0.1,3,0.5
Del Norte County,CA,4,3.5,Low (<10.0),-33.3,2.7,-0.7,8.9,5.8
El Dorado County,CA,153,6.5,Low (<10.0),-4.4,3.1,-0.4,2,-0.2
Fresno County,CA,65,5,Low (<10.0),4.8,3.3,-0.3,3.1,-0.2
Glenn County,CA,8,2.6,Low (<10.0),-46.7,2.8,-0.7,0,-0.1
Humboldt County,CA,2,1.5,Low (<10.0),100,0.1,-0.1,0.1,0.1
